Occasion,Date,SEC,IND,PASS,VALID,SPE_COR,LEN_COR,WEIGH_COR,TAGID,RECAP_COR,RECAP ,MORTAL,GENETIC,TAGGER    ,COMMENTS            
1,20150916,7,18,1,Y,BHC,113,15.1,a0900067000077043  ,N     ,N     ,N     ,N,PREGLER   ,
1,20150916,7,19,1,Y,BHC,63,3.8,a0900067000077129  ,N     ,N     ,N     ,N,PREGLER   ,
1,20150916,7,20,1,Y,BHC,65,4.4,a0900067000077157  ,N     ,N     ,N     ,N,PREGLER   ,
1,20150916,7,21,1,Y,BHC,129,23.7,a0900067000077016  ,N     ,N     ,N     ,N,PREGLER   ,
1,20150916,7,22,1,Y,BHC,95,10.1,a0900067000077428  ,N     ,N     ,N     ,N,PREGLER   ,
1,20150916,7,23,1,Y,BHC,75,5.2,a0900067000077480  ,N     ,N     ,N     ,N,PREGLER   ,
1,20150916,7,24,1,Y,BHC,84,7.9,a0900067000077234  ,N     ,N     ,N     ,N,PREGLER   ,
1,20150916,7,25,1,Y,BHC,74,5.8,a0900067000077432  ,N     ,N     ,N     ,N,PREGLER   ,
1,20150916,7,26,1,Y,BHC,73,5.4,a0900067000077132  ,N     ,N     ,N     ,N,PREGLER   ,
1,20150916,7,27,1,Y,BHC,109,15.3,a0900067000077385  ,N     ,N     ,N     ,N,PREGLER   ,
1,20150916,7,28,1,Y,BHC,78,5.8,a0900067000077308  ,N     ,N     ,N     ,N,PREGLER   ,
1,20150916,7,29,1,Y,BHC,81,7.9,a0900067000077422  ,N     ,N     ,N     ,N,PREGLER   ,
1,20150916,7,30,1,Y,BHC,86,9.1,a0900067000077418  ,N     ,N     ,N     ,N,PREGLER   ,
1,20150916,7,31,1,Y,BHC,80,7.8,a0900067000077344  ,N     ,N     ,N     ,N,PREGLER   ,
1,20150916,7,32,1,Y,BHC,99,13.1,a0900067000077058  ,N     ,N     ,N     ,N,PREGLER   ,
1,20150916,7,33,1,Y,BHC,66,5.5,a0900067000077413  ,N     ,N     ,N     ,N,PREGLER   ,
1,20150916,7,34,1,Y,BHC,77,7.5,a0900067000077223  ,N     ,N     ,N     ,N,PREGLER   ,
1,20150916,7,35,1,Y,BHC,66,5.6,a0900067000077006  ,N     ,N     ,N     ,N,PREGLER   ,
1,20150916,7,36,1,Y,BHC,114,17.7,a0900067000077255  ,N     ,N     ,N     ,N,PREGLER   ,
1,20150916,7,37,1,Y,BHC,72,7,a0900067000077276  ,N     ,N     ,N     ,N,PREGLER   ,
1,20150916,7,38,1,Y,BHC,110,17,a0900067000077114  ,N     ,N     ,N     ,N,PREGLER   ,
1,20150916,7,39,1,Y,STJ,75,6.7,a0900067000077467  ,N     ,N     ,N     ,N,PREGLER   ,
1,20150916,7,40,1,Y,BHC,65,5.3,a0900067000077397  ,N     ,N     ,N     ,N,PREGLER   ,
1,20150916,7,41,1,Y,BHC,93,10.4,a0900067000077095  ,N     ,N     ,N     ,N,PREGLER   ,
1,20150916,7,42,1,Y,BHC,76,7.2,a0900067000077358  ,N     ,N     ,N     ,N,PREGLER   ,
1,20150916,7,43,1,Y,BHC,63,4.9,a0900067000077478  ,N     ,N     ,N     ,N,PREGLER   ,
1,20150916,7,44,1,Y,BHC,65,5.6,a0900067000077215  ,N     ,N     ,N     ,N,PREGLER   ,
1,20150916,7,45,1,Y,BHC,83,8.6,a0900067000077398  ,N     ,N     ,N     ,N,PREGLER   ,
1,20150916,7,46,1,Y,BHC,101,14.1,a0900067000077332  ,N     ,N     ,N     ,N,PREGLER   ,
1,20150916,7,47,1,Y,BHC,66,5.3,a0900067000077170  ,N     ,N     ,N     ,N,PREGLER   ,
1,20150920,8,1,1,Y,BHC,83,5.7,a0900067000077066  ,N     ,N     ,N     ,N,PREGLER   ,                    
1,20150920,8,2,1,Y,BHC,68,2.9,a0900067000077496  ,N     ,N     ,N     ,N,PREGLER   ,                    
1,20150920,8,3,1,Y,BHC,77,4.2,a0900067000077259  ,N     ,N     ,N     ,N,PREGLER   ,                    
1,20150920,8,4,1,Y,BHC,65,3,a0900067000077364  ,N     ,N     ,N     ,N,PREGLER   ,                    
1,20150920,8,5,1,Y,BHC,69,3.2,a0900067000077024  ,N     ,N     ,N     ,N,PREGLER   ,                    
1,20150920,8,6,1,Y,BHC,59,2.2,a0900067000077140  ,N     ,N     ,N     ,N,PREGLER   ,                    
1,20150920,8,7,1,Y,BHC,60,2,a0900067000077186  ,N     ,N     ,N     ,N,PREGLER   ,                    
1,20150920,8,8,1,Y,CRC,60,2.2,a0900067000077139  ,N     ,N     ,N     ,N,PREGLER   ,                    
1,20150920,8,9,1,Y,BHC,62,2.3,a0900067000077394  ,N     ,N     ,N     ,N,PREGLER   ,                    
1,20150920,8,10,1,Y,BHC,65,3.2,a0900067000077131  ,N     ,N     ,N     ,N,PREGLER   ,                    
1,20150920,8,11,1,Y,BHC,62,2.7,a0900067000077151  ,N     ,N     ,N     ,N,PREGLER   ,                    
1,20150920,8,12,1,Y,BHC,65,2.8,a0900067000077154  ,N     ,N     ,N     ,N,PREGLER   ,                    
1,20150920,8,13,1,Y,BHC,64,3,a0900067000077046  ,N     ,N     ,N     ,N,PREGLER   ,                    
1,20150920,8,14,1,Y,BHC,68,3,a0900067000077381  ,N     ,N     ,N     ,N,PREGLER   ,                    
1,20150920,8,15,1,Y,BHC,70,3.9,a0900067000077127  ,N     ,N     ,N     ,N,PREGLER   ,                    
1,20150920,8,16,2,Y,BHC,70,3.5,a0900067000077185  ,N     ,N     ,N     ,N,PREGLER   ,                    
1,20150920,8,17,2,Y,BHC,63,3.1,a0900067000077315  ,N     ,N     ,N     ,N,PREGLER   ,                    
1,20150920,8,18,2,Y,BHC,60,1.9,a0900067000077445  ,N     ,N     ,N     ,N,PREGLER   ,                    
1,20150920,8,19,2,Y,BHC,72,3.8,a0900067000077180  ,N     ,N     ,N     ,N,PREGLER   ,                    
1,20150920,8,20,2,Y,BHC,62,2.4,a0900067000077334  ,N     ,N     ,N     ,N,PREGLER   ,                    
1,20150920,9,1,1,Y,BHC,100,11.2,a0900067000077367  ,N     ,N     ,N     ,N,PREGLER   ,                    
1,20150920,9,2,1,Y,BHC,78,4.7,a0900067000077433  ,N     ,N     ,N     ,N,PREGLER   ,                    
1,20150920,9,3,1,Y,BHC,72,3.8,a0900067000077270  ,N     ,N     ,N     ,N,PREGLER   ,                    
1,20150920,9,4,1,Y,BHC,67,3.4,a0900067000077054  ,N     ,N     ,N     ,N,PREGLER   ,                    
1,20150920,9,5,1,Y,BHC,65,2.9,a0900067000077004  ,N     ,N     ,N     ,N,PREGLER   ,                    
1,20150920,9,6,1,Y,BHC,66,3.3,a0900067000077465  ,N     ,N     ,N     ,N,PREGLER   ,                    
1,20150920,9,7,1,Y,BHC,65,3.3,a0900067000077441  ,N     ,N     ,Y     ,N,PREGLER   ,                    
1,20150920,9,8,1,Y,BHC,65,3,a0900067000077412  ,N     ,N     ,N     ,N,PREGLER   ,                    
1,20150920,9,9,1,Y,BHC,64,3.1,a0900067000077213  ,N     ,N     ,N     ,N,PREGLER   ,                    
1,20150920,9,10,1,Y,BHC,63,3,a0900067000077134  ,N     ,N     ,N     ,N,PREGLER   ,                    
1,20150920,9,11,1,Y,STJ,182,54,a0900067000077030  ,N     ,N     ,N     ,N,PREGLER   ,                    
1,20150920,9,12,1,Y,BHC,65,3,a0900067000077051  ,N     ,N     ,N     ,N,PREGLER   ,                    
1,20150920,9,13,1,Y,BHC,80,5.4,a0900067000077153  ,N     ,N     ,N     ,N,PREGLER   ,                    
1,20150920,9,14,1,Y,BHC,98,8.7,a0900067000077211  ,N     ,N     ,N     ,N,PREGLER   ,                    
1,20150920,9,15,1,Y,CRC,93,8,a0900067000077233  ,N     ,N     ,N     ,N,PREGLER   ,                    
1,20150920,9,16,1,Y,STJ,127,21.4,a0900067000077406  ,N     ,N     ,N     ,N,PREGLER   ,                    
1,20150920,9,17,1,Y,BHC,72,3.6,a0900067000077429  ,N     ,N     ,N     ,N,PREGLER   ,                    
1,20150920,9,18,1,Y,STJ,175,49.1,a0900067000077076  ,N     ,N     ,N     ,N,PREGLER   ,                    
