Date,st_occation,end_occation,Todd_WL,Indian_WL
2017/1/27,9 ,10 ,0.26,0.168
2017/1/28,9 ,10 ,0.253,0.169
2017/1/29,9 ,10 ,0.248,0.169
2017/1/30,9 ,10 ,0.246,0.169
2017/1/31,9 ,10 ,0.247,0.168
2017/2/1,9 ,10 ,0.248,0.165
2017/2/2,9 ,10 ,0.247,0.165
2017/2/3,9 ,10 ,0.246,0.166
2017/2/4,9 ,10 ,0.237,0.168
2017/2/5,9 ,10 ,0.237,0.172
2017/2/6,9 ,10 ,0.238,0.171
2017/2/7,9 ,10 ,0.245,0.166
2017/2/8,9 ,10 ,0.257,0.167
2017/2/9,9 ,10 ,0.255,0.168
2017/2/10,9 ,10 ,0.24,0.166
2017/2/11,9 ,10 ,0.241,0.165
2017/2/12,9 ,10 ,0.245,0.171
2017/2/13,9 ,10 ,0.239,0.168
2017/2/14,9 ,10 ,0.237,0.167
2017/2/15,9 ,10 ,0.255,0.167
2017/2/16,9 ,10 ,0.244,0.166
2017/2/17,9 ,10 ,0.241,0.165
2017/2/18,9 ,10 ,0.241,0.165
2017/2/19,9 ,10 ,0.24,0.167
2017/2/20,9 ,10 ,0.237,0.166
2017/2/21,9 ,10 ,0.237,0.165
2017/2/22,9 ,10 ,0.243,0.165
2017/2/23,9 ,10 ,0.239,0.163
2017/2/24,9 ,10 ,0.237,0.163
2017/2/25,9 ,10 ,0.236,0.164
2017/2/26,9 ,10 ,0.229,0.167
2017/2/27,9 ,10 ,0.229,0.168
2017/2/28,9 ,10 ,0.234,0.164
2017/3/1,9 ,10 ,0.242,0.164
2017/3/2,9 ,10 ,0.246,0.165
2017/3/3,9 ,10 ,0.234,0.165
2017/3/4,9 ,10 ,0.233,0.165
2017/3/5,9 ,10 ,0.237,0.167
2017/3/6,9 ,10 ,0.235,0.163
2017/3/7,9 ,10 ,0.237,0.167
2017/3/8,9 ,10 ,0.242,0.164
2017/3/9,9 ,10 ,0.231,0.169
2017/3/10,9 ,10 ,0.242,0.167
2017/3/11,10 ,11 ,0.232,0.168
2017/3/12,10 ,11 ,0.248,0.165
2017/3/13,10 ,11 ,0.241,0.165
2017/3/14,10 ,11 ,0.244,0.166
2017/3/15,10 ,11 ,0.236,0.166
2017/3/16,10 ,11 ,0.235,0.165
2017/3/17,10 ,11 ,0.238,0.165
2017/3/18,10 ,11 ,0.239,0.170
2017/3/19,10 ,11 ,0.235,0.176
2017/3/20,10 ,11 ,0.235,0.168
2017/3/21,10 ,11 ,0.25,0.168
2017/3/22,10 ,11 ,0.268,0.167
2017/3/23,10 ,11 ,0.246,0.170
2017/3/24,10 ,11 ,0.245,0.168
2017/3/25,10 ,11 ,0.243,0.174
2017/3/26,10 ,11 ,0.251,0.169
2017/3/27,10 ,11 ,0.245,0.168
2017/3/28,10 ,11 ,0.261,0.171
2017/3/29,10 ,11 ,0.248,0.168
2017/3/30,10 ,11 ,0.244,0.169
2017/3/31,10 ,11 ,0.254,0.193
2017/4/1,10 ,11 ,0.246,0.188
2017/4/2,10 ,11 ,0.248,0.196
2017/4/3,10 ,11 ,0.319,0.220
2017/4/4,10 ,11 ,0.302,0.196
2017/4/5,10 ,11 ,0.328,0.181
2017/4/6,10 ,11 ,0.397,0.176
2017/4/7,10 ,11 ,0.326,0.174
2017/4/8,10 ,11 ,0.283,0.172
2017/4/9,10 ,11 ,0.268,0.172
2017/4/10,10 ,11 ,0.263,0.171
2017/4/11,10 ,11 ,0.258,0.170
2017/4/12,10 ,11 ,0.256,0.171
2017/4/13,10 ,11 ,0.254,0.169
2017/4/14,10 ,11 ,0.252,0.168
2017/4/15,10 ,11 ,0.247,0.169
2017/4/16,10 ,11 ,0.245,0.169
2017/4/17,10 ,11 ,0.248,0.174
2017/4/18,10 ,11 ,0.261,0.18
2017/4/19,10 ,11 ,0.293,0.192
2017/4/20,10 ,11 ,0.264,0.18
2017/4/21,10 ,11 ,0.253,0.176
2017/4/22,10 ,11 ,0.248,0.174
2017/4/23,10 ,11 ,0.33,0.21
2017/4/24,10 ,11 ,0.544,0.282
2017/4/25,10 ,11 ,0.355,0.212
2017/4/26,10 ,11 ,0.31,0.195
2017/4/27,10 ,11 ,0.29,0.19
2017/4/28,10 ,11 ,0.282,0.187
2017/4/29,10 ,11 ,0.272,0.189
2017/4/30,10 ,11 ,0.267,0.204
2017/5/1,10 ,11 ,0.282,0.235
2017/5/2,10 ,11 ,0.268,0.208
2017/5/3,10 ,11 ,0.258,0.2
2017/5/4,10 ,11 ,0.31,0.207
2017/5/5,10 ,11 ,0.384,0.228
2017/5/6,10 ,11 ,0.305,0.198
2017/5/7,10 ,11 ,0.283,0.19
2017/5/8,10 ,11 ,0.271,0.185
2017/5/9,10 ,11 ,0.267,0.189
2017/5/10,10 ,11 ,0.26,0.192
2017/5/11,10 ,11 ,0.257,0.2
2017/5/12,10 ,11 ,0.256,0.229
2017/5/13,10 ,11 ,0.261,0.236
2017/5/14,10 ,11 ,0.255,0.223
2017/5/15,11 ,12 ,0.249,0.22
2017/5/16,11 ,12 ,0.248,0.215
2017/5/17,11 ,12 ,0.246,0.213
2017/5/18,11 ,12 ,0.246,0.222
2017/5/19,11 ,12 ,0.242,0.218
2017/5/20,11 ,12 ,0.239,0.208
2017/5/21,11 ,12 ,0.417,0.249
2017/5/22,11 ,12 ,0.311,0.227
2017/5/23,11 ,12 ,0.311,0.236
2017/5/24,11 ,12 ,0.327,0.251
2017/5/25,11 ,12 ,0.315,0.208
2017/5/26,11 ,12 ,0.287,0.181
2017/5/27,11 ,12 ,0.275,0.176
2017/5/28,11 ,12 ,0.271,0.176
2017/5/29,11 ,12 ,0.266,0.172
2017/5/30,11 ,12 ,0.267,0.171
2017/5/31,11 ,12 ,0.26,0.17
2017/6/1,11 ,12 ,0.263,0.168
2017/6/2,11 ,12 ,0.255,0.166
2017/6/3,11 ,12 ,0.251,0.163
2017/6/4,11 ,12 ,0.25,0.165
2017/6/5,11 ,12 ,0.262,0.171
2017/6/6,11 ,12 ,0.255,0.166
2017/6/7,11 ,12 ,0.247,0.162
2017/6/8,11 ,12 ,0.245,0.161
2017/6/9,11 ,12 ,0.245,0.16
2017/6/10,11 ,12 ,0.242,0.16
2017/6/11,11 ,12 ,0.24,0.159
2017/6/12,11 ,12 ,0.24,0.159
2017/6/13,11 ,12 ,0.257,0.178
2017/6/14,11 ,12 ,0.247,0.174
2017/6/15,11 ,12 ,0.241,0.166
2017/6/16,11 ,12 ,0.241,0.165
2017/6/17,11 ,12 ,0.241,0.164
2017/6/18,11 ,12 ,0.24,0.163
2017/6/19,11 ,12 ,0.24,0.162
2017/6/20,11 ,12 ,0.238,0.161
2017/6/21,11 ,12 ,0.242,0.162
2017/6/22,11 ,12 ,0.246,0.165
2017/6/23,11 ,12 ,0.25,0.167
2017/6/24,11 ,12 ,0.251,0.168
2017/6/25,11 ,12 ,0.251,0.167
2017/6/26,11 ,12 ,0.242,0.161
2017/6/27,11 ,12 ,0.236,0.156
2017/6/28,11 ,12 ,0.234,0.154
2017/6/29,11 ,12 ,0.234,0.157
2017/6/30,11 ,12 ,0.291,0.186
2017/7/1,11 ,12 ,0.261,0.172
2017/7/2,11 ,12 ,0.246,0.164
2017/7/3,11 ,12 ,0.243,0.163
2017/7/4,11 ,12 ,0.255,0.165
2017/7/5,11 ,12 ,0.249,0.163
2017/7/6,11 ,12 ,0.243,0.161
2017/7/7,11 ,12 ,0.239,0.16
2017/7/8,12 ,13 ,0.245,0.159
2017/7/9,12 ,13 ,0.243,0.158
2017/7/10,12 ,13 ,0.238,0.157
2017/7/11,12 ,13 ,0.235,0.155
2017/7/12,12 ,13 ,0.233,0.153
2017/7/13,12 ,13 ,0.231,0.152
2017/7/14,12 ,13 ,0.27,0.154
2017/7/15,12 ,13 ,0.283,0.16
2017/7/16,12 ,13 ,0.246,0.162
2017/7/17,12 ,13 ,0.241,0.163
2017/7/18,12 ,13 ,0.236,0.156
2017/7/19,12 ,13 ,0.233,0.154
2017/7/20,12 ,13 ,0.231,0.154
2017/7/21,12 ,13 ,0.227,0.152
2017/7/22,12 ,13 ,0.224,0.151
2017/7/23,12 ,13 ,0.235,0.174
2017/7/24,12 ,13 ,0.23,0.164
2017/7/25,12 ,13 ,0.226,0.157
2017/7/26,12 ,13 ,0.222,0.153
2017/7/27,12 ,13 ,0.222,0.153
2017/7/28,12 ,13 ,0.222,0.154
2017/7/29,12 ,13 ,0.221,0.153
2017/7/30,12 ,13 ,0.214,0.15
2017/7/31,12 ,13 ,0.212,0.147
2017/8/1,12 ,13 ,0.212,0.147
2017/8/2,12 ,13 ,0.215,0.149
2017/8/3,12 ,13 ,0.213,0.148
2017/8/4,12 ,13 ,0.212,0.148
2017/8/5,12 ,13 ,0.209,0.147
2017/8/6,12 ,13 ,0.204,0.145
2017/8/7,12 ,13 ,0.264,0.165
2017/8/8,12 ,13 ,0.239,0.158
2017/8/9,12 ,13 ,0.228,0.155
2017/8/10,12 ,13 ,0.226,0.155
2017/8/11,12 ,13 ,0.262,0.175
2017/8/12,12 ,13 ,0.291,0.171
2017/8/13,12 ,13 ,0.239,0.158
2017/8/14,12 ,13 ,0.233,0.156
