"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14"
"248",NA,NA,NA,NA,NA,17114,NA,NA,NA,NA,17422,NA,NA,NA
"249",NA,NA,NA,NA,NA,17109,NA,NA,NA,NA,17417,17475,NA,NA
"250",NA,NA,NA,NA,NA,17114,17171,17232,17300,17353,NA,NA,NA,NA
"251",NA,NA,NA,NA,NA,17109,NA,NA,17298,NA,NA,NA,NA,NA
"252",NA,NA,NA,NA,NA,17109,NA,NA,NA,NA,NA,NA,NA,NA
"253",NA,NA,NA,NA,NA,17114,17171,NA,NA,NA,NA,NA,NA,NA
"254",NA,NA,NA,NA,NA,17114,17171,NA,17300,NA,NA,NA,NA,NA
"255",NA,NA,NA,NA,NA,17109,NA,NA,NA,17352,NA,NA,NA,NA
"256",NA,NA,NA,NA,NA,NA,17171,NA,17298,NA,NA,NA,NA,NA
"257",NA,NA,NA,NA,NA,NA,17171,NA,NA,NA,NA,NA,NA,NA
"258",NA,NA,NA,NA,NA,NA,17171,NA,17298,NA,NA,NA,NA,NA
"259",NA,NA,NA,NA,NA,NA,17171,NA,17298,17352,17417,NA,NA,NA
"260",NA,NA,NA,NA,NA,NA,17171,NA,17298,NA,NA,NA,NA,NA
"261",NA,NA,NA,NA,NA,NA,17171,NA,17300,NA,NA,17475,NA,NA
"262",NA,NA,NA,NA,NA,NA,17171,NA,NA,NA,NA,NA,NA,NA
"263",NA,NA,NA,NA,NA,NA,17171,17228,NA,NA,NA,NA,NA,NA
"264",NA,NA,NA,NA,NA,NA,17171,NA,NA,NA,NA,NA,NA,NA
"265",NA,NA,NA,NA,NA,NA,17171,NA,17298,NA,NA,NA,NA,NA
"266",NA,NA,NA,NA,NA,NA,NA,17225,NA,NA,NA,NA,NA,NA
"267",NA,NA,NA,NA,NA,NA,17171,NA,NA,NA,NA,NA,NA,NA
"268",NA,NA,NA,NA,NA,NA,17171,NA,17298,17352,NA,NA,NA,NA
"269",NA,NA,NA,NA,NA,NA,17171,17228,NA,NA,NA,NA,NA,NA
"270",NA,NA,NA,NA,NA,NA,17171,NA,NA,17352,17419,17475,NA,NA
"271",NA,NA,NA,NA,NA,NA,NA,NA,17300,17353,NA,NA,NA,NA
"272",NA,NA,NA,NA,NA,NA,NA,NA,17300,NA,NA,NA,NA,NA
"273",NA,NA,NA,NA,NA,NA,NA,NA,17300,NA,NA,NA,NA,NA
"274",NA,NA,NA,NA,NA,NA,NA,NA,17300,17354,17422,NA,NA,NA
