Occasion,Date,SEC,IND,PASS,SPE,LEN,WEIGH,TAGNUMBER         ,RECAP ,MORTAL,GENETIC,TAGGER    ,COMMENTS            ,,,,,,,,,,,,,,,
1,20150913,17,NA,NA,BHC,126,18.9,0900067000077182  ,N     ,N     ,N     ,KIM       ,                    ,,,,,,,,,,,,,,,
1,20150913,17,NA,NA,MTS,77,5.3,0900067000077163  ,N     ,Y     ,N     ,KIM       ,                    ,,,,,,,,,,,,,,,
1,20150913,17,NA,NA,MTS,60,2.7,0900067000077390  ,N     ,N     ,N     ,KIM       ,                    ,,,,,,,,,,,,,,,
1,20150913,17,NA,NA,BHC,130,21.8,0900067000077178  ,N     ,N     ,N     ,KIM       ,                    ,,,,,,,,,,,,,,,
1,20150913,17,NA,NA,MTS,65,3.1,0900067000077360  ,N     ,N     ,N     ,KIM       ,                    ,,,,,,,,,,,,,,,
1,20150913,17,NA,NA,BHC,73,3.7,0900067000077289  ,N     ,N     ,N     ,KIM       ,                    ,,,,,,,,,,,,,,,
1,20150913,17,NA,NA,MTS,67,3.3,0900067000077159  ,N     ,N     ,N     ,KIM       ,                    ,,,,,,,,,,,,,,,
1,20150913,17,NA,NA,MTS,60,2.9,0900067000077020  ,N     ,N     ,N     ,KIM       ,                    ,,,,,,,,,,,,,,,
1,20150913,18,NA,NA,BHC,79,6.2,0900067000077267  ,N     ,N     ,N     ,KIM       ,                    ,,,,,,,,,,,,,,,
1,20150913,18,NA,NA,CRC,106,12,0900067000077247  ,N     ,N     ,N     ,KIM       ,                    ,,,,,,,,,,,,,,,
1,20150913,18,NA,NA,CRC,70,3.5,0900067000077050  ,N     ,N     ,N     ,KIM       ,                    ,,,,,,,,,,,,,,,
1,20150913,18,NA,NA,BHC,66,2.9,0900067000077032  ,N     ,N     ,N     ,KIM       ,                    ,,,,,,,,,,,,,,,
1,20150913,18,NA,NA,MTS,73,4.4,0900067000077262  ,N     ,N     ,N     ,KIM       ,                    ,,,,,,,,,,,,,,,
1,20150913,18,NA,NA,MTS,69,3.8,0900067000077053  ,N     ,N     ,N     ,KIM       ,                    ,,,,,,,,,,,,,,,
1,20150913,18,NA,NA,MTS,58,2.2,0900067000077457  ,N     ,N     ,N     ,KIM       ,                    ,,,,,,,,,,,,,,,
1,20150913,18,NA,NA,STJ,91,7.2,0900067000077437  ,N     ,N     ,N     ,KIM       ,                    ,,,,,,,,,,,,,,,
1,20150913,18,NA,NA,MTS,65,3.2,0900067000077295  ,N     ,N     ,N     ,KIM       ,                    ,,,,,,,,,,,,,,,
1,20150913,18,NA,NA,STJ,104,10.2,0900067000077442  ,N     ,N     ,N     ,KIM       ,                    ,,,,,,,,,,,,,,,
1,20150913,18,NA,NA,BHC,71,3.4,0900067000077376  ,N     ,N     ,N     ,KIM       ,                    ,,,,,,,,,,,,,,,
1,20150913,18,NA,NA,BHC,117,14.4,0900067000077491  ,N     ,N     ,N     ,KIM       ,                    ,,,,,,,,,,,,,,,
1,20150913,18,NA,NA,BHC,56,1.6,0900067000077014  ,N     ,N     ,N     ,KIM       ,                    ,,,,,,,,,,,,,,,
1,20150913,18,NA,NA,MTS,61,2.6,0900067000077372  ,N     ,N     ,N     ,KIM       ,                    ,,,,,,,,,,,,,,,
1,20150913,18,NA,NA,MTS,64,3,0900067000077119  ,N     ,N     ,N     ,KIM       ,                    ,,,,,,,,,,,,,,,
1,20150913,19,NA,NA,MTS,66,3.2,0900067000077319  ,N     ,N     ,N     ,KIM       ,                    ,,,,,,,,,,,,,,,
1,20150913,19,NA,NA,MTS,69,3.9,0900067000077423  ,N     ,N     ,N     ,KIM       ,                    ,,,,,,,,,,,,,,,
1,20150913,19,NA,NA,BHC,67,2.5,0900067000077141  ,N     ,N     ,N     ,KIM       ,                    ,,,,,,,,,,,,,,,
1,20150913,19,NA,NA,STJ,185,56.9,0900067000077425  ,N     ,N     ,N     ,KIM       ,                    ,,,,,,,,,,,,,,,
1,20150913,20,NA,NA,CRC,109,13,0900067000077354  ,N     ,N     ,N     ,KIM       ,                    ,,,,,,,,,,,,,,,
