"","b[1]","b[2]","b[3]","b[4]","b[5]","b[6]","sigma","phi","bpvalue"
"206",3.35607,0.451695,-0.000470461,-0.151496,-0.0671449,0.153296,0.113342,0.26766,1
"207",3.3843,0.571507,-0.0783449,0.0146358,-0.105275,-0.18689,0.10723,0.282839,1
"208",3.3963,0.53248,-0.0710862,-0.0979013,-0.0136198,0.0210313,0.116707,0.275916,1
"209",3.46043,0.473579,0.00966898,-0.138756,-0.0925795,-0.32213,0.111613,0.287908,0
"210",3.42359,0.446855,-0.0226486,-0.162537,-0.0472475,-0.134045,0.111774,0.268853,0
"211",3.36126,0.564882,-0.0323832,-0.0958332,-0.133013,-0.263052,0.110307,0.268882,0
"212",3.37964,0.652531,-0.0338127,-0.0620064,-0.0156637,-0.155191,0.105827,0.278539,0
"213",3.36087,0.534444,-0.0221804,-0.103114,-0.0311466,-0.0231221,0.10944,0.274916,0
"214",3.261,0.652596,0.07385,-0.207995,-0.0705858,-0.108179,0.114769,0.268014,1
"215",3.38602,0.563147,-0.0105317,0.000935707,-0.124564,-0.183142,0.107564,0.292073,1
"216",3.40354,0.530376,-0.0268505,-0.221181,-0.0877821,0.0433578,0.115149,0.269838,0
"217",3.35541,0.532293,0.0560768,-0.283692,-0.026869,-0.0771433,0.117769,0.290808,1
"218",3.33616,0.518813,-0.0475087,-0.0855033,0.0142701,-0.0270326,0.109665,0.265933,0
"219",3.34599,0.566064,-0.0440976,-0.0639544,-0.030203,-0.150637,0.115777,0.288163,1
"220",3.34746,0.594101,-0.0121571,-0.00400868,-0.105583,-0.29468,0.110967,0.287638,1
"221",3.40888,0.474962,-0.0693941,0.0369607,-0.0517192,-0.238243,0.109509,0.26987,0
"222",3.29079,0.524819,-0.0769072,0.00292058,0.00389699,-0.0361249,0.111794,0.286495,0
"223",3.37139,0.524622,0.00601464,-0.0815259,-0.0197329,-0.0714399,0.109412,0.287556,1
"224",3.31515,0.545109,0.00435445,-0.13291,-0.122025,-0.0441024,0.103891,0.272334,0
"225",3.35249,0.609545,0.0155706,-0.139835,-0.106057,-0.308239,0.115923,0.259689,0
"226",3.3861,0.562371,-0.0352522,-0.122877,-0.142806,-0.0376399,0.115308,0.291368,1
"227",3.35794,0.507885,-0.0346146,-0.0861071,-0.0405209,-0.179739,0.112614,0.28286,0
"228",3.33694,0.709924,-0.0289118,-0.168513,-0.121174,-0.115745,0.109315,0.291876,1
"229",3.39053,0.455691,-0.0301044,-0.0860782,-0.0841933,0.139907,0.116074,0.292991,0
"230",3.39175,0.398218,-0.0412663,-0.0755478,-0.0948884,0.187598,0.107143,0.297048,1
