"","b[1]","b[2]","b[3]","b[4]","b[5]","b[6]","sigma","phi","bpvalue"
"283",3.35661,0.0237816,0.0105243,0.313418,0.118969,0.193928,0.135146,0.205212,0
"284",3.32653,-0.0759135,0.00730731,0.334159,0.0730256,0.209769,0.1301,0.194227,1
"285",3.37505,-0.0156077,-0.0100671,0.297717,0.090026,0.190692,0.138603,0.201345,1
"286",3.38437,0.0263488,-0.0226223,0.294817,0.0478933,0.0996885,0.131374,0.194986,1
"287",3.34321,-0.0123673,-0.0190106,0.329005,0.0411897,0.163514,0.129429,0.194217,0
"288",3.21851,0.00914203,0.0267124,0.274892,0.0705569,0.280793,0.127907,0.189033,0
"289",3.3807,0.00814875,0.0474003,0.203389,0.0311204,0.120369,0.13414,0.189849,0
"290",3.36215,0.0449009,-0.00718375,0.307867,0.0746676,0.152797,0.127891,0.187885,0
"291",3.26036,-0.00189281,0.0491528,0.300813,0.050301,0.273253,0.127801,0.189851,0
"292",3.28998,-0.0246006,0.051465,0.285778,0.0423427,0.257018,0.127285,0.186625,0
"293",3.29998,0.0404913,0.046738,0.218409,0.0572438,0.190817,0.132388,0.193891,0
"294",3.35352,-0.0249383,0.053471,0.224237,0.0512381,0.157068,0.128104,0.184943,1
"295",3.25611,0.0141929,0.0102467,0.272027,0.0596386,0.212671,0.136388,0.187062,0
"296",3.30557,0.0318736,0.00176297,0.307661,0.0424687,0.18446,0.128142,0.193357,0
"297",3.23337,-0.0375363,-0.0219339,0.389362,0.11453,0.293237,0.129183,0.1894,0
"298",3.33041,-0.042762,0.019172,0.322315,0.0360482,0.170562,0.134188,0.186377,0
"299",3.36652,0.0266466,0.03901,0.300597,0.0614288,0.169469,0.130148,0.189927,0
"300",3.25632,-0.00129831,0.0237925,0.319723,0.083895,0.257746,0.130011,0.197342,0
"301",3.33953,-0.0233081,-0.0116589,0.311602,0.083546,0.216171,0.126329,0.184575,0
"302",3.34451,0.00297996,0.030723,0.255147,0.0513266,0.146055,0.129267,0.191765,0
"303",3.35024,-0.0584042,0.00562393,0.327139,0.0764308,0.208209,0.132234,0.191685,1
"304",3.37081,-0.0708435,-0.00078502,0.341468,0.081232,0.186971,0.13435,0.190222,0
"305",3.28143,-0.0475636,-0.0231787,0.369208,0.104663,0.271811,0.128395,0.185755,1
"306",3.30544,-0.0319868,-0.0650206,0.368732,0.0486313,0.24851,0.128231,0.195161,0
"307",3.3332,-0.0068459,-0.0380989,0.397905,0.0668874,0.204151,0.129974,0.189727,1
"308",3.31616,-0.0580988,0.00141283,0.302321,0.0711784,0.18603,0.129803,0.198107,0
"309",3.42044,0.0122533,0.0345231,0.251461,0.0887997,0.120734,0.131108,0.187865,1
"310",3.35287,-0.0240972,0.02267,0.282755,0.0548918,0.115446,0.128368,0.190156,1
