"","b[1]","b[2]","b[3]","b[4]","b[5]","sigma","phi"
"285",3.2767,0.50504,-0.0587091,0.0426103,0.000103947,6.45178,0.29213
"286",3.33623,0.435877,-0.128097,0.0224729,-0.12512,6.79556,0.270365
"287",3.1681,0.601357,-0.0655416,0.0912203,-0.0428414,6.67026,0.265669
"288",3.22945,0.556027,-0.0657456,0.0836292,-0.13359,6.89019,0.272114
"289",3.24129,0.634507,-0.077858,0.056453,-0.313025,6.81585,0.262899
"290",3.42008,0.414618,-0.063833,0.0155254,-0.276043,6.73191,0.283802
"291",3.25499,0.526681,-0.0448239,0.0586031,-0.2311,6.94853,0.276343
"292",3.25577,0.490398,-0.0459772,0.0723745,-0.270918,6.72957,0.261051
"293",3.31621,0.510143,-0.0994839,0.0473062,0.18706,6.68008,0.289497
"294",3.22886,0.538002,-0.144001,0.0517202,0.0715695,6.55136,0.263596
"295",3.31643,0.415199,-0.109063,0.0228847,-0.126204,6.49536,0.27033
"296",3.27895,0.50955,-0.0631901,0.101061,-0.0480347,6.5774,0.287753
"297",3.37068,0.444622,-0.0701016,0.0124528,-0.257402,6.42026,0.279582
"298",3.25706,0.572973,-0.0889015,0.0821834,-0.457246,6.77773,0.270334
"299",3.29541,0.51942,0.0115925,0.0129818,-0.279566,6.43169,0.261651
"300",3.28777,0.494373,-0.0865069,0.0410215,-0.0554901,6.9587,0.252131
"301",3.24433,0.496722,-0.0625548,0.060709,0.107897,6.57546,0.277247
"302",3.22136,0.527179,-0.114918,0.0738425,-0.0607021,6.7585,0.280301
"303",3.34365,0.471518,-0.0449814,0.0750377,-0.171925,6.43418,0.285853
"304",3.24186,0.55279,-0.100954,0.00243344,-0.293261,6.65938,0.283439
"305",3.30102,0.487537,-0.0138782,0.0452487,-0.222445,6.67854,0.272719
"306",3.27716,0.517848,-0.0539094,0.0365478,-0.0193247,6.52716,0.295721
"307",3.30869,0.50998,-0.122707,0.0196479,-0.281447,6.87229,0.257666
"308",3.25204,0.551105,-0.145168,0.0899907,-0.256635,6.99353,0.272493
"309",3.25262,0.499348,-0.0508805,0.00877722,-0.13133,7.02175,0.280675
"310",3.3396,0.522615,-0.179183,0.07878,-0.126245,6.69439,0.293306
"311",3.22063,0.562575,-0.048854,0.16545,-0.112399,6.61261,0.291265
"312",3.30925,0.433885,-0.104419,0.0964302,-0.0257217,7.21498,0.278795
"313",3.28167,0.502225,-0.0469952,0.093608,-0.150667,6.54008,0.266805
"314",3.3067,0.491566,-0.14249,0.078531,-0.216353,6.7822,0.289818
"315",3.30044,0.432978,-0.100536,0.0966219,-0.139611,6.43574,0.288704
"316",3.2555,0.531021,-0.130531,0.0445429,-0.314192,6.72638,0.284297
"317",3.25604,0.59319,-0.094446,0.0797835,-0.0372143,6.72033,0.294953
"318",3.36262,0.502074,-0.0408963,0.0819906,-0.035477,6.60096,0.262182
"319",3.29928,0.537004,-0.124933,0.105236,-0.296858,6.49683,0.26869
"320",3.30406,0.430379,-0.160402,0.0890032,0.0926109,6.69746,0.275506
"321",3.40192,0.409434,-0.0424743,0.00334985,-0.381014,6.81158,0.259951
"322",3.32558,0.391795,-0.0850026,0.00560497,-0.186434,6.45253,0.286385
"323",3.25325,0.565547,-0.0315713,0.119402,-0.24023,6.96046,0.269814
"324",3.23405,0.541989,-0.0247289,0.102492,-0.0893554,6.33111,0.271499
"325",3.25571,0.591734,-0.0674916,0.0697888,-0.138265,6.9179,0.288483
"326",3.21955,0.562762,-0.00438464,0.0221173,-0.102516,7.2919,0.283988
"327",3.29193,0.508142,-0.0335708,0.121298,0.189782,6.5851,0.287514
"328",3.23013,0.637229,-0.0686912,0.0247561,-0.160116,6.76154,0.283442
"329",3.15107,0.627911,-0.125761,0.0472737,-0.136008,6.56698,0.276995
"330",3.18976,0.653382,-0.0775506,0.0648115,-0.26646,6.91576,0.281558
"331",3.27547,0.519807,-0.0482238,0.017984,-0.0022917,6.85934,0.287108
"332",3.34308,0.442283,-0.0861542,0.0852097,-0.244529,6.82524,0.280388
