"","b[1]","b[2]","b[3]","b[4]","b[5]","b[6]","sigma"
"215",3.32863,-0.0692686,0.0311031,0.257837,0.0594384,0.244748,0.130315
"216",3.25691,-0.0251983,0.0444369,0.315919,0.0866818,0.24601,0.134371
"217",3.25605,0.0323081,-0.0126083,0.338327,0.0574104,0.240403,0.12812
"218",3.23483,0.122035,0.00742911,0.257128,0.0680294,0.221019,0.132823
"219",3.28828,0.000399623,0.0480096,0.303976,0.0554632,0.213943,0.129627
"220",3.31841,-0.017386,0.0219221,0.328743,0.0703526,0.174827,0.131564
"221",3.31346,-0.0456181,-0.0186076,0.372063,0.0919841,0.278302,0.132323
"222",3.26511,0.062319,0.0630895,0.271015,0.0650101,0.257684,0.12579
"223",3.32372,-0.0476639,0.0494052,0.261948,0.0604508,0.20056,0.129416
"224",3.27143,-0.021357,0.00549315,0.313215,0.0644657,0.276839,0.131475
"225",3.3166,0.00903657,-0.00212835,0.336623,0.0579358,0.193822,0.129528
"226",3.2548,0.0307679,0.00265706,0.294325,0.0693201,0.274394,0.122142
"227",3.2036,0.00233176,0.0176437,0.32492,0.0721148,0.274374,0.129473
"228",3.30246,0.0541353,-0.0116575,0.322855,0.0240422,0.204379,0.13446
"229",3.25316,-0.0334543,0.0164104,0.324392,0.0948824,0.294227,0.128545
"230",3.27636,-0.0194237,-0.010956,0.389139,0.0835643,0.182187,0.127889
"231",3.34662,0.0273339,-0.0103882,0.302361,0.0326027,0.170475,0.128206
"232",3.36166,0.0629816,0.00810552,0.37559,0.0778288,0.093432,0.129589
"233",3.29996,0.00951641,0.117639,0.245497,0.0866729,0.210759,0.132234
"234",3.3292,-0.0409978,0.0209827,0.297303,0.0884062,0.230899,0.131215
"235",3.29675,-0.000393786,0.0326778,0.329146,0.0602882,0.22047,0.12719
"236",3.30479,-0.0979513,0.0530411,0.298876,0.0692884,0.258187,0.129312
"237",3.20703,0.0274521,-0.0171825,0.386274,0.0690036,0.285177,0.128715
"238",3.23393,-0.0164954,0.0265628,0.284872,0.105821,0.315431,0.130234
"239",3.36223,0.0018107,0.0279839,0.215468,0.0626857,0.126591,0.129025
"240",3.1999,-0.025151,0.0237466,0.300092,0.103072,0.315004,0.137759
"241",3.25106,-0.0660907,0.0392169,0.292466,0.103719,0.288888,0.131119
"242",3.33218,-0.0255592,0.0101597,0.250095,0.0720837,0.185686,0.130293
"243",3.27028,-0.0914366,0.0572219,0.269787,0.0935413,0.277395,0.130717
"244",3.32131,-0.078085,0.0157185,0.325494,0.0458717,0.195089,0.130311
"245",3.28162,-0.0270983,0.0137672,0.289971,0.0818441,0.282328,0.129871
"246",3.24453,-0.00781185,0.0353703,0.304481,0.0785061,0.279686,0.132951
"247",3.23986,-0.0129278,0.0576027,0.293875,0.0856934,0.277415,0.126961
"248",3.35022,-0.0198294,-0.0137029,0.329675,0.0621963,0.129652,0.130715
"249",3.31703,-0.0736359,0.0395593,0.259743,0.0921251,0.245178,0.131734
"250",3.26465,0.0684399,0.0203358,0.31369,0.0860868,0.225616,0.135525
"251",3.32795,0.0388209,0.0255525,0.306413,0.0896504,0.187911,0.130157
"252",3.29513,0.0125082,0.00916158,0.285638,0.0659554,0.234748,0.133096
"253",3.3183,-0.0416407,-0.00186341,0.319312,0.0873345,0.190329,0.130591
"254",3.23657,0.0361534,-0.00153912,0.312849,0.0834241,0.27477,0.129636
"255",3.29166,0.0289494,0.0342249,0.304546,0.0705099,0.227793,0.13075
"256",3.299,-0.0374962,0.0461196,0.229243,0.035876,0.243378,0.131312
"257",3.28436,0.0296092,0.00556046,0.286376,0.0294042,0.19954,0.124636
"258",3.23054,-0.00965425,0.0198088,0.324439,0.0496641,0.307006,0.126645
"259",3.31396,0.0421967,0.0177716,0.208161,0.0997109,0.200666,0.130818
"260",3.26367,-0.0178504,0.0414541,0.340057,0.0792192,0.30263,0.129867
"261",3.29414,-0.0432271,0.0250722,0.311786,0.0625219,0.231335,0.131057
"262",3.26739,0.00412939,0.0175936,0.328285,0.0165358,0.226255,0.12801
"263",3.31668,-0.0695374,-0.0450213,0.421818,0.0801491,0.265387,0.127685
"264",3.30009,0.0553177,-0.0188404,0.303515,0.10125,0.215522,0.132668
"265",3.32797,0.0131132,0.00629722,0.296238,0.0554734,0.110456,0.129203
"266",3.28646,0.0179733,0.0154562,0.310339,0.0616747,0.239727,0.133409
"267",3.33537,0.00453331,0.0334508,0.212464,0.0508515,0.154071,0.131175
"268",3.23747,-0.0376016,0.0449714,0.299757,0.0637172,0.328821,0.133301
"269",3.36124,-0.00504448,-0.0176408,0.349832,0.0289002,0.0961575,0.125989
"270",3.33503,-0.0663475,-0.0380413,0.356244,0.0387919,0.156028,0.132925
"271",3.2944,0.000112612,0.0313764,0.319375,0.0669594,0.22084,0.137877
"272",3.25836,0.0289385,0.0234167,0.289726,0.0834794,0.266831,0.130052
"273",3.34363,0.0373769,0.0275198,0.267746,0.105676,0.138006,0.12953
"274",3.31614,-0.115058,0.0715066,0.336704,0.0868212,0.267969,0.127962
"275",3.297,0.0206366,-0.000550402,0.31992,0.0779479,0.239271,0.129351
"276",3.3644,-0.0142952,-0.0298106,0.3388,0.0717535,0.146221,0.134144
"277",3.21163,0.0694261,0.0796664,0.27415,0.0375336,0.230926,0.131923
"278",3.27326,0.024142,0.0676379,0.262055,0.0731702,0.233753,0.131295
"279",3.26071,0.00583936,0.0525424,0.261289,0.0439782,0.275635,0.127478
"280",3.30235,-0.0580028,0.00281943,0.342935,0.0294094,0.236795,0.133435
"281",3.2834,0.0219385,0.062196,0.270155,0.0261651,0.204891,0.132563
"282",3.30416,0.00913859,0.00764971,0.322607,0.048485,0.214498,0.12743
"283",3.3338,-0.0414039,-0.0108952,0.379243,0.0412186,0.208092,0.136147
"284",3.34875,0.0676088,0.00322686,0.2765,0.0410702,0.135965,0.128354
"285",3.24375,0.0469414,0.0437291,0.300153,0.0795007,0.223203,0.127168
"286",3.41824,-0.0662816,0.0108732,0.258176,0.0324774,0.110326,0.129381
"287",3.24232,0.0141652,0.0324331,0.347216,0.0740119,0.260366,0.126515
"288",3.2946,-0.0261837,0.0353253,0.250829,0.0630231,0.2316,0.129316
"289",3.26766,0.00596097,0.0365204,0.258019,0.0999319,0.280728,0.128283
"290",3.25015,0.0112479,0.0242629,0.315783,0.149022,0.262781,0.130031
"291",3.28774,0.0883106,0.0342251,0.281521,0.0518806,0.156721,0.124696
"292",3.29502,-0.077082,-0.0268054,0.339398,0.1155,0.306703,0.129201
"293",3.33246,-0.0602221,0.00414997,0.355556,0.0753104,0.216416,0.128627
"294",3.27123,-0.0196584,-0.00438493,0.30451,0.0746289,0.243606,0.128388
"295",3.31238,-0.0169476,0.0225834,0.231063,0.0850271,0.199657,0.129606
"296",3.23933,0.0655773,0.0137387,0.29604,0.0833381,0.243784,0.128776
"297",3.24676,-0.0045071,0.0628334,0.294524,0.0665562,0.278777,0.130821
"298",3.20907,0.0397693,0.0662466,0.293155,0.0840476,0.346247,0.133643
"299",3.20809,-0.0655154,0.0305545,0.392267,0.0395361,0.360836,0.128218
"300",3.29381,-0.00028413,0.0290883,0.333213,0.0849325,0.186988,0.126008
"301",3.27606,-0.0466533,0.0850389,0.249896,0.0593942,0.279809,0.12956
"302",3.26649,-0.120017,0.00693047,0.351201,0.0704265,0.291918,0.130853
"303",3.24746,-0.046329,0.0363126,0.276664,0.0234713,0.281987,0.132215
"304",3.30769,-0.0201335,0.0626455,0.264589,0.0959371,0.212901,0.13033
"305",3.3767,0.0289534,-0.016312,0.261139,0.0636933,0.125742,0.130859
"306",3.32487,-0.0442292,0.0323016,0.332277,0.036865,0.214409,0.12639
"307",3.25704,-0.0198988,0.081367,0.250937,0.0753315,0.250068,0.126669
"308",3.27371,-0.00936422,0.038601,0.319482,0.060811,0.249396,0.124275
"309",3.3518,-0.0420125,0.0101826,0.277389,0.077288,0.170125,0.12971
"310",3.23242,0.0523978,0.0144648,0.31193,0.0407626,0.243698,0.130898
"311",3.21853,-0.000883743,-0.0131106,0.376942,0.0541834,0.300552,0.124633
"312",3.23834,-0.0162092,0.0057485,0.351645,0.0596028,0.285253,0.128327
"313",3.3039,-0.0129015,0.00630744,0.300627,0.0819148,0.244605,0.130353
"314",3.41067,-0.0873168,-0.013251,0.410128,0.0787507,0.17962,0.130919
"315",3.26252,0.0450716,0.0101669,0.368662,0.0488268,0.218801,0.13149
"316",3.35422,0.0419343,0.0105817,0.297859,0.0533214,0.13221,0.128638
"317",3.25491,0.104774,0.0298482,0.261424,0.107899,0.216111,0.127497
"318",3.32302,-0.00225236,-0.00645164,0.317389,0.0698739,0.221692,0.132118
"319",3.36068,-0.0597826,-0.0261697,0.315662,0.0489936,0.155408,0.127678
"320",3.28222,-0.0126557,0.0465483,0.318658,0.0645033,0.228881,0.125478
"321",3.29452,-0.0223769,0.0185555,0.236745,0.0274962,0.290634,0.128986
"322",3.26376,-0.0137945,-0.0069762,0.305967,0.0511574,0.247786,0.12817
"323",3.31193,-0.0662745,-0.0239966,0.342185,0.0669826,0.215152,0.134124
"324",3.24444,0.0520426,-0.0074363,0.309556,0.0290415,0.226176,0.134286
"325",3.28624,0.00401484,-0.0379417,0.382979,0.0910514,0.253858,0.132526
"326",3.34017,-0.0516398,0.0453535,0.264181,0.0714965,0.211841,0.125404
"327",3.25308,0.0443051,0.0203185,0.296795,0.0855561,0.273447,0.129016
"328",3.27516,-0.0521887,0.0459523,0.29745,0.0678329,0.230867,0.1307
"329",3.23641,0.0398391,0.00897191,0.342976,0.0570233,0.253534,0.131009
"330",3.29437,0.0134733,0.0215195,0.309694,0.0644911,0.214956,0.134877
"331",3.30656,0.0986561,0.0382665,0.263353,0.0121982,0.142816,0.130366
"332",3.2526,-0.00185204,0.0242152,0.330463,0.0668411,0.308915,0.131114
"333",3.26117,-3.7347e-05,0.0242221,0.325922,0.0819126,0.270519,0.130298
