,mean,50%,2.50%,97.50%,Rhat,n.eff,PN,PP
loglik[1225],-4.017951347,-4.016635,-4.3097515,-3.74135925,1.002468579,930,1,0
loglik[1226],-5.46984488,-5.461415,-5.594099,-5.39321475,1.005786419,480,1,0
loglik[1230],-4.008759247,-4.00759,-4.238135,-3.78975275,1.003547348,640,1,0
loglik[1233],-4.048335247,-4.046885,-4.24713275,-3.85077725,1.003976472,540,1,0
loglik[1234],-4.761878907,-4.75853,-4.8238695,-4.716539,1.004591492,520,1,0
loglik[1236],-4.75259316,-4.74986,-4.814881,-4.706448,1.003723712,540,1,0
loglik[1237],-4.104241253,-4.101635,-4.2944265,-3.9268345,1.004980954,630,1,0
loglik[1240],-6.161758467,-6.15146,-6.42996925,-5.95334275,1.004967221,510,1,0
loglik[1244],-4.0908723,-4.088095,-4.26194975,-3.9332225,1.004956317,470,1,0
loglik[1245],-4.74346986,-4.740375,-4.802553,-4.7011295,1.003569987,560,1,0
loglik[1248],-4.028205033,-4.02793,-4.20678225,-3.84960075,1.004336936,460,1,0
loglik[1249],-6.131914813,-6.1246,-6.33438125,-5.97358425,1.005338314,390,1,0
loglik[1253],-4.03602916,-4.0333,-4.19944225,-3.88027425,1.004788528,420,1,0
loglik[1258],-5.45679884,-5.45159,-5.5452845,-5.39853375,1.006077589,380,1,0
loglik[1259],-5.449384393,-5.444275,-5.532671,-5.396365,1.006134213,370,1,0
loglik[1261],-5.4409571,-5.43634,-5.51395775,-5.39336125,1.006192001,360,1,0
loglik[1262],-4.76060554,-4.75783,-4.820335,-4.715944,1.00434565,490,1,0
loglik[1265],-5.437925633,-5.433775,-5.51055825,-5.39015925,1.006361879,420,1,0
loglik[1267],-7.411406807,-7.406015,-7.807738,-7.0495195,1.005411993,450,1,0
loglik[1268],-5.435585467,-5.431385,-5.5009205,-5.39151475,1.006341811,370,1,0
loglik[1270],-6.14823986,-6.143565,-6.352187,-5.975965,1.005602753,470,1,0
loglik[1272],-8.746294573,-8.7344,-9.444504,-8.11485175,1.005263781,580,1,0
loglik[1275],-13.4544348,-13.41695,-15.0744925,-12.05565,1.00486265,430,1,0
loglik[1276],-4.764552307,-4.760855,-4.83305525,-4.715729,1.00490235,600,1,0
loglik[1279],-4.764552307,-4.760855,-4.83305525,-4.715729,1.00490235,600,1,0
loglik[1282],-4.75290538,-4.75005,-4.81445025,-4.7071485,1.003800643,530,1,0
loglik[1288],-7.480601647,-7.46953,-7.92638125,-7.10593,1.00505688,400,1,0
loglik[1289],-6.849898693,-6.838115,-7.234005,-6.541668,1.004998638,460,1,0
loglik[1292],-6.1652269,-6.15369,-6.44439375,-5.95056375,1.004880584,530,1,0
loglik[1293],-10.01959781,-9.980385,-11.47971,-8.80977525,1.003696053,710,1,0
loglik[1296],-4.054942647,-4.05362,-4.2174815,-3.90114425,1.004734705,430,1,0
loglik[1297],-4.749661133,-4.74646,-4.805773,-4.70883925,1.004207997,480,1,0
loglik[1298],-4.046435007,-4.04536,-4.21286375,-3.890595,1.004900129,410,1,0
loglik[1300],-4.054942647,-4.05362,-4.2174815,-3.90114425,1.004734705,430,1,0
loglik[1303],-4.039143127,-4.039495,-4.20422,-3.87702975,1.004835965,420,1,0
loglik[1304],-6.991373353,-6.96205,-7.64935325,-6.49020025,1.003632322,760,1,0
loglik[1305],-6.225111827,-6.208665,-6.600628,-5.95012125,1.004229954,660,1,0
loglik[1307],-4.019166647,-4.01778,-4.306099,-3.7453575,1.002528835,910,1,0
loglik[1317],-4.050201367,-4.05236,-4.52351225,-3.59552275,1.043806748,51,1,0
loglik[1325],-4.756508393,-4.739595,-4.92590575,-4.68904,1.064892758,44,1,0
loglik[1328],-4.035616953,-4.03874,-4.491585,-3.58493875,1.04779321,47,1,0
loglik[1329],-6.249447847,-6.190665,-6.97962275,-5.862551,1.044542584,52,1,0
loglik[1331],-4.0461556,-4.04937,-4.4997455,-3.6024455,1.048649643,46,1,0
loglik[1334],-4.018602127,-4.022085,-4.458136,-3.5843755,1.051109758,44,1,0
loglik[1335],-4.938784087,-4.936355,-5.0397375,-4.85624675,1.02229232,98,1,0
loglik[1336],-4.92803964,-4.925345,-5.0226935,-4.84740725,1.02052549,100,1,0
loglik[1340],-4.514974707,-4.513175,-4.67589875,-4.35970925,1.019321858,110,1,0
