"","b[1]","b[2]","b[3]","b[4]","b[5]","b[6]","sigma"
"189",3.31503,0.686731,-0.0817151,-0.117889,-0.0697053,-0.139056,0.112418
"190",3.30004,0.642115,-0.0730523,0.0188027,-0.0360971,-0.0528494,0.107709
"191",3.34161,0.550304,0.0481807,-0.0968416,-0.062358,0.07028,0.116186
"192",3.31923,0.607516,0.00605448,-0.185328,-0.0203427,0.14361,0.111192
"193",3.35641,0.598438,0.0543145,-0.275052,-0.0375332,-0.27732,0.115142
"194",3.34126,0.566387,0.0121975,-0.156494,-0.106892,0.101724,0.104987
"195",3.39855,0.596495,-0.105783,-0.0659498,-0.110903,-0.109068,0.110167
"196",3.39825,0.53276,-0.0471203,-0.131276,-0.104264,-0.252318,0.108752
"197",3.39091,0.616799,-0.0195869,-0.214529,-0.0477089,-0.275979,0.108854
"198",3.39861,0.512668,-0.00926621,-0.13838,-0.124875,-0.13211,0.10703
"199",3.33792,0.467844,-0.0890933,0.00566398,-0.0419414,-0.0319597,0.106642
"200",3.36027,0.557011,-0.00515818,-0.217696,-0.0557932,-0.185044,0.112591
"201",3.44032,0.510466,-0.0487923,-0.152608,-0.127954,-0.291177,0.116716
"202",3.40934,0.494234,0.125083,-0.310426,-0.120253,-0.0277836,0.116879
"203",3.45982,0.399919,0.0161386,-0.195729,-0.0898131,-0.08927,0.115433
"204",3.3866,0.540856,-0.0952276,0.0568256,-0.0590363,0.050655,0.105693
"205",3.37856,0.564659,-0.0568662,-0.205178,0.0080227,-0.0777676,0.105289
"206",3.3049,0.592292,-0.0198605,-0.143057,-0.0762548,-0.0347276,0.109216
"207",3.32448,0.604564,-0.0409821,-0.139546,-0.125666,0.166423,0.109982
"208",3.39168,0.478613,-0.0357614,-0.0976292,-0.0162154,-0.211724,0.111511
"209",3.32508,0.549197,0.0297704,-0.0806009,-0.0237562,-0.0837098,0.113231
"210",3.37758,0.573585,-0.0550939,-0.051157,-0.0605315,-0.0525016,0.113628
"211",3.35543,0.710335,-0.0524333,-0.0906711,-0.0735024,-0.0551819,0.109199
"212",3.41944,0.448735,0.00260819,-0.208582,-0.0408173,0.00881286,0.110279
