,mean,50%,2.50%,97.50%,Rhat,n.eff,PN,PP
loglik[723],-4.019930327,-4.0237,-4.27327525,-3.75709875,1.004782454,420,1,0
loglik[726],-4.02057878,-4.02446,-4.272417,-3.7598865,1.004686609,430,1,0
loglik[727],-4.727469713,-4.72143,-4.8041465,-4.68924,1.010665855,350,1,0
loglik[730],-3.852392993,-3.855985,-4.109413,-3.587459,1.004896345,410,1,0
loglik[735],-4.099813467,-4.10295,-4.3506595,-3.84037875,1.004679704,430,1,0
loglik[746],-8.421453833,-8.398355,-9.308433,-7.62890975,1.012721667,190,1,0
loglik[755],-3.172405573,-3.17088,-3.38552,-2.9680245,1.015079189,170,1,0
loglik[759],-3.376985267,-3.373915,-3.5445675,-3.2212015,1.017948285,130,1,0
loglik[760],-3.20580748,-3.20268,-3.39276675,-3.030876,1.016418764,160,1,0
loglik[761],-3.3541617,-3.35173,-3.52467025,-3.19693225,1.0177689,140,1,0
loglik[765],-3.342749827,-3.339425,-3.51380925,-3.183513,1.017676371,140,1,0
loglik[770],-4.841632053,-4.83367,-4.985939,-4.7352435,1.010054117,220,1,0
loglik[771],-3.22863122,-3.225575,-3.41062975,-3.0549225,1.016642272,150,1,0
loglik[778],-3.33133804,-3.32753,-3.50320775,-3.17095775,1.017582129,140,1,0
loglik[779],-3.297102253,-3.293685,-3.472599,-3.13139125,1.017285534,140,1,0
loglik[781],-3.160159813,-3.158005,-3.3577365,-2.9774265,1.015964808,160,1,0
loglik[789],-3.4853748,-3.48253,-3.6542565,-3.32842675,1.01785965,140,1,0
loglik[794],-3.3727018,-3.369095,-3.5489725,-3.2057855,1.017182601,150,1,0
loglik[795],-8.138225067,-8.116915,-9.00127875,-7.38568075,1.012390403,190,1,0
loglik[797],-3.229465093,-3.228325,-3.43240475,-3.038961,1.015626147,170,1,0
loglik[806],-3.319926013,-3.31648,-3.4932595,-3.15761175,1.017485288,140,1,0
loglik[811],-4.800121833,-4.79564,-4.907355,-4.7225995,1.010607208,200,1,0
loglik[821],-3.399809107,-3.39788,-3.5632795,-3.245464,1.01811897,130,1,0
loglik[829],-3.33133804,-3.32753,-3.50320775,-3.17095775,1.017582129,140,1,0
loglik[830],-4.788009707,-4.78408,-4.88722625,-4.71669175,1.01064561,190,1,0
loglik[831],-3.376985267,-3.373915,-3.5445675,-3.2212015,1.017948285,130,1,0
loglik[838],-3.104833567,-3.10287,-3.32817075,-2.88751025,1.014767771,170,1,0
loglik[843],-4.073109373,-4.07156,-4.30681,-3.840075,1.017771014,130,1,0
loglik[850],-3.783529253,-3.7837,-3.9442295,-3.61252175,1.019805397,120,1,0
loglik[854],-5.794057747,-5.79022,-5.82114525,-5.7875,1.003466764,900,1,0
loglik[855],-5.237829893,-5.235645,-5.38418025,-5.1046435,1.016884085,120,1,0
loglik[856],-4.91956276,-4.918465,-5.12263425,-4.72778075,1.018784201,110,1,0
loglik[857],-5.192013673,-5.19157,-5.46112325,-4.9388855,1.004952954,480,1,0
loglik[858],-5.811529853,-5.80198,-5.88878425,-5.78754,1.021357402,130,1,0
loglik[861],-4.6282081,-4.62444,-4.91326325,-4.38180725,1.026191481,80,1,0
loglik[863],-6.139304467,-6.130955,-6.24357925,-6.07824475,1.02290647,97,1,0
loglik[867],-6.129451727,-6.12169,-6.21958925,-6.077309,1.021800093,100,1,0
loglik[874],-6.117889467,-6.11131,-6.19612325,-6.07625375,1.019778294,110,1,0
loglik[881],-5.125084567,-5.12286,-5.26933025,-4.9997045,1.020975213,100,1,0
loglik[882],-5.85968158,-5.852725,-5.9592005,-5.796644,1.006138292,380,1,0
loglik[886],-6.5896032,-6.578195,-6.73789775,-6.49716375,1.004227843,490,1,0
loglik[888],-5.42985736,-5.42441,-5.513099,-5.3850975,1.030675057,84,1,0
loglik[889],-5.45006042,-5.444925,-5.54491475,-5.39279025,1.029389166,83,1,0
loglik[910],-4.041570193,-4.03367,-4.387955,-3.755381,1.051476289,45,1,0
loglik[912],-4.74424492,-4.73267,-4.87506175,-4.68941,1.064354585,45,1,0
loglik[930],-3.972178713,-3.96602,-4.345466,-3.65906425,1.050147008,47,1,0
loglik[935],-4.098004253,-4.087315,-4.40935925,-3.841532,1.051794796,45,1,0
loglik[989],-5.88007654,-5.870505,-6.0085875,-5.79711425,1.01541674,230,1,0
loglik[990],-6.747001087,-6.731595,-6.946635,-6.6407795,1.00632606,400,1,0
loglik[991],-5.071564587,-5.06496,-5.2332855,-4.94280225,1.02922479,77,1,0
loglik[1015],-6.135737433,-6.12925,-6.22764675,-6.0780795,1.020860222,100,1,0
loglik[1017],-8.080834667,-8.06566,-8.58224075,-7.663089,1.014874042,140,1,0
loglik[1020],-15.041694,-15.01345,-17.80065,-12.5089175,1.02692998,79,1,0
loglik[1026],-7.29344476,-7.277585,-7.638391,-7.0385215,1.008302227,280,1,0
loglik[1033],-6.339135287,-6.329085,-6.434532,-6.29863475,1.004465406,450,1,0
loglik[1036],-5.41864156,-5.41033,-5.4977375,-5.38254475,1.035069517,77,1,0
loglik[1039],-10.90212725,-10.88785,-12.37549,-9.56398225,1.027105993,79,1,0
loglik[1053],-5.151136093,-5.14707,-5.307775,-5.01783525,1.025478147,91,1,0
loglik[1054],-9.937732993,-9.92846,-11.101535,-8.87696325,1.027148697,78,1,0
loglik[1056],-5.501190807,-5.49296,-5.77894275,-5.244762,1.010730841,290,1,0
loglik[1057],-6.515664013,-6.49861,-6.64034825,-6.48068,1.018508092,280,1,0
loglik[1058],-6.526046253,-6.5114,-6.6513035,-6.48077475,1.00551884,460,1,0
loglik[1059],-5.450211013,-5.443685,-5.53678975,-5.3966575,1.032545415,78,1,0
loglik[1062],-6.08329554,-6.07901,-6.11565625,-6.07519,1.001948333,1500,1,0
loglik[1063],-5.16981894,-5.1666,-5.32688675,-5.03453425,1.0250471,93,1,0
loglik[1066],-5.4210261,-5.412795,-5.50299875,-5.38271425,1.034672673,77,1,0
loglik[1076],-5.44370812,-5.432425,-5.58564525,-5.38229,1.002086829,960,1,0
loglik[1087],-4.1305322,-4.12027,-4.43944625,-3.85402125,1.03722218,58,1,0
loglik[1092],-4.069814767,-4.05928,-4.39458225,-3.78170975,1.039344986,55,1,0
loglik[1110],-5.449571967,-5.436725,-5.59653775,-5.38226,1.036895369,66,1,0
loglik[1152],-6.54091016,-6.532425,-6.9306935,-6.235363,1.029560527,73,1,0
loglik[1161],-4.777755987,-4.76675,-4.90777775,-4.69996125,1.039379794,59,1,0
loglik[1165],-4.747297987,-4.734215,-4.87216775,-4.6898295,1.045609673,57,1,0
loglik[1200],-4.43401074,-4.43499,-4.776171,-4.1220885,1.021900799,140,1,0
loglik[1201],-4.944886993,-4.9392,-5.143469,-4.794926,1.026788693,120,1,0
loglik[1212],-4.548129413,-4.548305,-4.865827,-4.25515375,1.021333843,130,1,0
loglik[1214],-6.820897873,-6.805855,-7.0679645,-6.673533,1.029416145,120,1,0
loglik[1216],-4.392218853,-4.392745,-4.7436595,-4.06748975,1.021983745,140,1,0
loglik[1219],-5.79940386,-5.79251,-5.8507705,-5.78751,1.020778723,320,1,0
loglik[1221],-5.396681687,-5.388775,-5.45917525,-5.38203,1.062568706,100,1,0
loglik[1231],-7.855076013,-7.831725,-8.4255695,-7.45189975,1.02332497,120,1,0
loglik[1238],-5.402012267,-5.393295,-5.476352,-5.38205475,1.058617831,99,1,0
loglik[1241],-5.414712547,-5.4059,-5.501123,-5.38211,1.043515883,110,1,0
loglik[1242],-5.46055192,-5.458035,-5.77212,-5.1479185,1.015707627,150,1,0
loglik[1243],-6.119240807,-6.1083,-6.2321265,-6.07547,1.026458235,160,1,0
loglik[1250],-4.272494613,-4.27199,-4.4636305,-4.09038325,1.002079484,960,1,0
loglik[1253],-4.201046447,-4.200165,-4.40232175,-4.00404725,1.002748777,730,1,0
loglik[1254],-4.880700167,-4.8782,-4.977621,-4.80187925,1.00104928,1500,1,0
loglik[1258],-5.199685373,-5.196625,-5.3469135,-5.05095075,1.005184303,430,1,0
loglik[1259],-5.40333318,-5.397325,-5.45628725,-5.38209,1.003723326,1100,1,0
loglik[1261],-4.875118013,-4.87262,-4.9713685,-4.79708,1.00114854,1500,1,0
loglik[1262],-4.85582978,-4.85354,-4.948775,-4.7813655,1.001254149,1500,1,0
loglik[1264],-4.86552008,-4.863365,-4.96132325,-4.787709,1.00148239,1300,1,0
loglik[1266],-4.92614176,-4.923495,-5.025151,-4.84099925,1.000659144,1500,1,0
loglik[1267],-4.89785414,-4.895225,-4.99625625,-4.81461925,1.000792995,1500,1,0
loglik[1270],-5.03670672,-5.034035,-5.14994325,-4.9283,1.002443505,1200,1,0
loglik[1274],-4.946442673,-4.943565,-5.04780175,-4.8578495,1.000725721,1500,1,0
loglik[1276],-4.329553753,-4.329785,-4.51598975,-4.15481025,1.001467703,1400,1,0
loglik[1279],-4.95279334,-4.949785,-5.05447075,-4.86251325,1.000778122,1500,1,0
loglik[1280],-4.369037553,-4.36697,-4.55093575,-4.1952245,1.000893249,1500,1,0
loglik[1283],-4.204023393,-4.20341,-4.40721225,-4.00335525,1.002885161,690,1,0
loglik[1285],-4.875118013,-4.87262,-4.9713685,-4.79708,1.00114854,1500,1,0
loglik[1287],-5.098788453,-5.0958,-5.2223915,-4.97793525,1.003342563,760,1,0
loglik[1289],-4.980030493,-4.97888,-5.20239575,-4.747285,1.00638252,340,1,0
loglik[1290],-5.549495567,-5.54567,-5.6661325,-5.4500495,1.0056533,360,1,0
