"","b[1]","b[2]","b[3]","b[4]","b[5]","sigma[1]","sigma[2]","phi"
"1433",-4.7197,0.320163,0.337478,0.408476,-1.05587,7.39244,282.18,0.265309
"1434",-4.85197,0.031262,0.310655,0.381055,-0.951704,7.52812,80.7123,0.276802
"1435",-4.89768,0.276951,0.297309,0.384031,-0.95052,7.43274,358.09,0.261389
"1436",-4.95305,0.0834961,0.36643,0.443499,-0.814136,7.49005,64.7655,0.269256
"1437",-4.93924,0.184892,0.217181,0.468769,-0.679828,7.81232,308.323,0.267664
"1438",-5.00456,0.188941,0.344815,0.386068,-0.812098,7.66364,1017.17,0.279454
"1439",-4.78906,0.110527,0.338304,0.498184,-0.900837,7.17646,286.243,0.267017
"1440",-4.97938,0.229526,0.399295,0.433944,-0.759891,7.85132,360.913,0.260208
"1441",-4.53232,0.0708243,0.292627,0.392227,-1.32197,7.34567,155.004,0.242231
"1442",-5.03676,0.466926,0.302204,0.329078,-0.892564,7.66169,238.593,0.264135
"1443",-4.66486,0.330838,0.516061,0.311225,-1.25002,7.42697,4939.58,0.249297
"1444",-4.98457,0.204539,0.44082,0.41529,-0.853204,7.40683,72.4498,0.266596
"1445",-5.27306,0.302542,0.210844,0.285968,-0.378343,7.45947,260.238,0.249512
"1446",-4.90483,0.176615,0.290096,0.383347,-0.955908,7.36735,163.765,0.287641
"1447",-5.22906,0.161641,0.283392,0.501801,-0.391743,7.55978,63.7105,0.262175
"1448",-5.10277,0.353081,0.271352,0.437467,-0.789001,7.5165,95.8156,0.272855
"1449",-4.92468,0.0678741,0.348434,0.430206,-0.87806,7.64798,77.7703,0.27022
"1450",-4.7681,0.00426488,0.3574,0.400275,-1.00402,7.50432,946.986,0.265761
"1451",-5.06357,0.122769,0.276119,0.428115,-0.652669,7.90157,143.841,0.291812
"1452",-4.66143,0.40349,0.264097,0.422194,-1.1692,7.50546,139.736,0.27395
"1453",-4.74687,0.076175,0.208646,0.405873,-1.11809,7.50197,226.733,0.254022
"1454",-4.78425,0.174103,0.311997,0.340229,-1.12658,7.64782,53.0143,0.265692
"1455",-4.87847,0.244746,0.391057,0.431427,-1.02221,7.61095,1224.15,0.265954
"1456",-5.08066,0.330444,0.362834,0.417048,-0.820188,7.0997,84.3209,0.245956
"1457",-4.99079,0.105438,0.244196,0.275288,-0.764192,7.31761,53.9582,0.254848
"1458",-4.99783,0.243356,0.283858,0.324468,-0.872446,7.77469,3714.36,0.268664
"1459",-4.95063,0.283342,0.374527,0.315545,-0.800187,7.49166,55.1796,0.266402
"1460",-4.7699,0.0877918,0.390538,0.375339,-1.08177,7.55497,72.1084,0.260017
"1461",-5.08103,0.241394,0.281356,0.332046,-0.742512,7.60868,547.871,0.269991
