"","b[1]","b[2]","b[3]","b[4]","b[5]","b[6]","sigma","phi","bpvalue"
"185",3.79707,0.370054,0.233473,-0.0378737,0.292889,-0.518634,0.12976,0.277659,1
"186",3.83446,0.404818,0.363191,-0.0166948,0.218896,-0.582744,0.126291,0.247676,1
"187",3.7852,0.41514,0.399848,-0.153958,0.270225,-0.617041,0.119762,0.253595,1
"188",3.92067,0.205452,0.358323,-0.037211,0.217626,-0.722396,0.123202,0.280146,1
"189",3.86425,0.31944,0.407029,-0.181057,0.223708,-0.581654,0.126412,0.261459,1
"190",3.90847,0.3513,0.390126,-0.137749,0.251676,-0.721378,0.129743,0.279878,1
"191",3.84234,0.358724,0.338735,-0.00715457,0.177598,-0.632945,0.124847,0.254266,0
"192",3.89551,0.382653,0.329392,0.0529851,0.22601,-0.670693,0.129349,0.26631,0
"193",3.74314,0.48838,0.362219,-0.043975,0.257371,-0.543186,0.130333,0.26117,1
"194",3.95308,0.168129,0.36545,-0.0145437,0.23899,-0.747107,0.133898,0.265544,1
"195",3.83745,0.325339,0.30485,0.00650771,0.200022,-0.609835,0.125353,0.271599,0
"196",4.02657,0.197721,0.426684,-0.178432,0.225668,-0.758088,0.129941,0.25717,0
"197",3.91063,0.208443,0.292057,-0.0353907,0.209827,-0.66922,0.123802,0.266595,1
"198",3.86276,0.309959,0.388544,-0.14795,0.196287,-0.681182,0.124498,0.266432,1
"199",3.81197,0.318101,0.383293,0.00553639,0.188687,-0.59988,0.125553,0.265894,1
"200",3.92274,0.231513,0.422865,-0.187613,0.1592,-0.723737,0.12099,0.283118,1
"201",3.74543,0.460602,0.335682,-0.0956311,0.234262,-0.635535,0.121486,0.282233,1
"202",3.80638,0.360252,0.328541,-0.143355,0.237271,-0.547599,0.120225,0.263133,0
"203",3.95478,0.229508,0.371731,0.0427956,0.268099,-0.80026,0.118775,0.273235,0
"204",3.95704,0.225082,0.295265,-0.00919008,0.22657,-0.640178,0.132599,0.247071,1
"205",3.74344,0.308186,0.369661,-0.13476,0.125152,-0.518924,0.127676,0.268679,1
"206",3.86678,0.199182,0.297534,-0.0457132,0.238546,-0.545443,0.125855,0.261746,0
"207",3.80099,0.394673,0.37332,-0.0422344,0.173247,-0.554612,0.127193,0.277471,1
"208",3.75395,0.503046,0.369117,0.0500613,0.222452,-0.586961,0.127582,0.277659,1
"209",3.83923,0.330122,0.377469,0.0225613,0.265502,-0.622533,0.121188,0.27377,0
"210",3.81232,0.362914,0.369703,-0.132674,0.236718,-0.613815,0.125488,0.263355,0
"211",3.94039,0.216274,0.332456,-0.0142129,0.166432,-0.704067,0.124033,0.262665,1
"212",3.93549,0.404925,0.3554,-0.0649526,0.161645,-0.683089,0.122425,0.261875,0
"213",3.80055,0.344293,0.353119,-0.162445,0.260463,-0.592413,0.127006,0.272714,1
"214",3.85869,0.247016,0.403566,-0.043502,0.207085,-0.711695,0.130344,0.265836,1
"215",3.82411,0.265297,0.384443,-0.125119,0.226835,-0.6884,0.126176,0.254071,0
"216",3.78012,0.404163,0.381225,-0.199972,0.23983,-0.577181,0.120182,0.265916,1
"217",3.95082,0.198534,0.423528,-0.104872,0.189391,-0.824923,0.130255,0.269333,0
"218",3.81786,0.384325,0.341968,-0.11745,0.233841,-0.701712,0.123603,0.262999,0
"219",3.71252,0.43816,0.352447,-0.121577,0.182843,-0.537332,0.132998,0.289013,1
"220",3.72135,0.352493,0.489899,-0.170642,0.217238,-0.529807,0.123274,0.255514,1
"221",3.94892,0.236212,0.360478,-0.168148,0.23162,-0.689673,0.122474,0.267357,1
"222",3.90026,0.220203,0.351361,-0.0743995,0.177682,-0.652892,0.124291,0.282249,1
"223",3.95627,0.270964,0.428346,-0.185377,0.202688,-0.730763,0.129379,0.278897,0
"224",3.81356,0.250346,0.375709,-0.0886708,0.184289,-0.590412,0.122092,0.258227,1
"225",3.79313,0.415799,0.36965,-0.0772874,0.245977,-0.642112,0.12879,0.275086,0
"226",3.97222,0.282312,0.463866,-0.0401947,0.217051,-0.721523,0.127852,0.27183,1
"227",3.83061,0.298798,0.335922,-0.150139,0.18608,-0.545459,0.125144,0.251003,0
"228",3.82205,0.410727,0.415986,-0.127137,0.221155,-0.668838,0.123368,0.285929,1
"229",3.93682,0.332902,0.413346,-0.224645,0.192419,-0.76832,0.129748,0.281836,1
"230",3.99057,0.236304,0.335482,0.0477894,0.242851,-0.693729,0.12592,0.280892,0
"231",3.86054,0.407512,0.27997,0.0312056,0.256402,-0.637654,0.123188,0.275719,1
"232",3.88948,0.310176,0.283215,-0.031146,0.262015,-0.710729,0.121223,0.265064,0
"233",3.9062,0.273696,0.385869,-0.119326,0.221026,-0.660933,0.126789,0.27642,1
"234",3.83863,0.27627,0.461897,-0.149196,0.192541,-0.629748,0.126751,0.269174,0
"235",3.76979,0.282439,0.242791,0.00355087,0.216156,-0.570873,0.131992,0.27166,0
"236",3.84324,0.232543,0.35204,-0.0749972,0.224968,-0.670589,0.136716,0.252621,0
"237",3.66621,0.482463,0.327178,-0.17584,0.265468,-0.501438,0.117835,0.270601,1
"238",3.9008,0.336598,0.398526,-0.0624764,0.194926,-0.706171,0.130704,0.270306,1
"239",3.84065,0.372138,0.329116,-0.00665727,0.273303,-0.617381,0.131579,0.257042,0
"240",3.91853,0.303524,0.377595,-0.00702487,0.246659,-0.759906,0.130178,0.252202,0
"241",3.90748,0.264719,0.361028,-0.0765555,0.16531,-0.677827,0.130389,0.25116,1
"242",3.91156,0.166295,0.286766,-0.0740028,0.27153,-0.644602,0.125017,0.273832,1
"243",3.78192,0.42359,0.424973,-0.10834,0.243654,-0.66084,0.130906,0.253888,0
"244",3.7369,0.540907,0.419053,-0.102054,0.225384,-0.582362,0.126943,0.258128,0
"245",3.74215,0.408541,0.367205,-0.0189566,0.197354,-0.573736,0.122595,0.28519,1
"246",3.85882,0.346852,0.322481,0.0495795,0.243875,-0.654016,0.120955,0.279273,1
"247",3.85768,0.484368,0.409964,-0.210655,0.22639,-0.642899,0.126476,0.274937,0
"248",3.80961,0.292323,0.308488,0.0257671,0.244515,-0.574143,0.129045,0.261346,1
"249",3.86263,0.383975,0.287542,0.120089,0.241068,-0.601913,0.121941,0.249559,0
"250",3.72016,0.489333,0.244996,0.0380521,0.248929,-0.488271,0.129711,0.265375,1
"251",3.89724,0.291807,0.38261,-0.071791,0.283671,-0.708876,0.117966,0.256539,1
"252",3.91699,0.352419,0.312239,0.0310911,0.274726,-0.681592,0.126754,0.266752,1
"253",3.94736,0.307561,0.384788,-0.0334771,0.24618,-0.760159,0.118422,0.299294,0
"254",3.84822,0.417293,0.400299,-0.0404077,0.211461,-0.644673,0.121181,0.248251,0
"255",3.7674,0.320886,0.373024,-0.0263923,0.239985,-0.552,0.122849,0.251392,1
"256",3.7729,0.290922,0.391223,-0.113508,0.1909,-0.607192,0.124779,0.279388,0
"257",3.78166,0.339872,0.399535,-0.170688,0.168717,-0.510103,0.129538,0.265454,1
"258",3.91924,0.287403,0.419627,-0.0615232,0.160865,-0.68661,0.136099,0.273762,0
"259",3.78089,0.30593,0.432903,-0.234456,0.228489,-0.583141,0.126419,0.264512,1
"260",3.86981,0.204513,0.252628,0.0928942,0.261823,-0.669763,0.124915,0.268496,0
"261",3.72938,0.366054,0.417432,-0.0992605,0.151886,-0.543267,0.127322,0.285789,1
"262",3.7736,0.465089,0.38702,-0.120042,0.255285,-0.621315,0.127145,0.270432,0
"263",3.85821,0.328055,0.363406,-0.0122152,0.225471,-0.627501,0.128795,0.283467,0
"264",4.01121,0.211455,0.422088,-0.171699,0.219088,-0.852232,0.118727,0.268276,1
"265",3.986,0.22485,0.346045,-0.0688967,0.189843,-0.779279,0.130341,0.273919,0
"266",3.88234,0.38472,0.409883,-0.101397,0.219047,-0.709647,0.127943,0.248037,1
"267",3.72593,0.429445,0.369871,-0.103585,0.243236,-0.568468,0.126948,0.255799,0
"268",4.00211,0.2752,0.398856,0.0997753,0.231479,-0.796417,0.130822,0.269214,1
"269",3.83893,0.331899,0.45038,-0.185026,0.233032,-0.63574,0.126843,0.268411,1
"270",3.71102,0.397099,0.32974,-0.0157526,0.228538,-0.526809,0.130636,0.251618,0
"271",3.80008,0.355243,0.317443,-0.0379073,0.203764,-0.590177,0.130946,0.260374,1
"272",3.94225,0.148473,0.357239,0.00836381,0.306223,-0.748074,0.135504,0.277867,1
"273",3.79749,0.308073,0.412241,-0.0726438,0.212481,-0.624289,0.129823,0.279704,1
"274",3.69582,0.394085,0.380479,-0.0778472,0.192971,-0.533286,0.121789,0.260261,1
"275",3.77063,0.404835,0.358993,-0.0143019,0.235427,-0.651553,0.128183,0.282466,1
"276",3.83914,0.20816,0.404454,-0.211421,0.14937,-0.659247,0.130353,0.262535,0
"277",4.0457,0.261912,0.350535,0.139862,0.187589,-0.805295,0.126013,0.280471,1
"278",3.86772,0.24499,0.344402,-0.118966,0.241474,-0.636192,0.125452,0.262441,0
"279",3.81119,0.465852,0.360368,-0.11654,0.272256,-0.607091,0.127292,0.268886,0
"280",3.90659,0.379716,0.336346,-0.0775814,0.186184,-0.689837,0.130754,0.274193,0
"281",3.78253,0.326026,0.383463,-0.160533,0.250339,-0.613143,0.128301,0.26289,1
"282",3.94138,0.238325,0.407528,-0.0440223,0.204685,-0.723344,0.123338,0.278536,1
"283",3.7788,0.321342,0.325894,-0.117082,0.234701,-0.585171,0.129394,0.283042,0
"284",3.90606,0.27362,0.424884,-0.10776,0.22445,-0.623258,0.126353,0.277271,1
"285",3.84828,0.360191,0.43912,-0.140801,0.288555,-0.710928,0.129055,0.267803,1
"286",3.88262,0.239539,0.357617,-0.181561,0.257541,-0.745419,0.127136,0.264684,1
"287",3.96516,0.304242,0.391432,-0.0902841,0.231201,-0.670833,0.123592,0.268037,1
"288",3.8582,0.37225,0.472787,-0.27362,0.152115,-0.627889,0.124673,0.25599,1
"289",3.83345,0.404893,0.395694,-0.128431,0.202044,-0.627519,0.121716,0.27226,1
"290",3.9642,0.236433,0.297552,-0.028749,0.195491,-0.785607,0.13509,0.283639,1
"291",3.77237,0.306588,0.288739,-0.054776,0.227966,-0.580984,0.134244,0.265021,1
