"","b[1]","b[2]","b[3]","b[4]","b[5]","sigma","phi"
"233",3.29616,0.646491,-0.0723716,-0.042929,-0.0479567,6.58729,0.276261
"234",3.38494,0.493664,0.0230908,-0.0787706,-0.089274,6.80095,0.274806
"235",3.2975,0.578788,-0.0429354,-0.0206902,-0.0284645,6.89383,0.280523
"236",3.30188,0.630456,-0.0602389,-0.0282492,-0.156592,7.0013,0.275742
"237",3.41646,0.41296,-0.0973087,-0.0273573,-0.00234208,6.483,0.274428
"238",3.46886,0.452882,-0.102802,-0.0705463,-0.247643,6.36861,0.294486
"239",3.4939,0.430721,-0.0504002,-0.0399569,-0.169283,6.80178,0.269763
"240",3.44187,0.536473,-0.0951348,-0.0840188,-0.196976,6.97371,0.26713
"241",3.32344,0.543976,-0.0919948,-0.0580407,0.0271521,6.70258,0.268466
"242",3.35452,0.482071,-0.0870312,-0.0770048,0.199176,6.75697,0.281
"243",3.34409,0.590483,-0.0902299,-0.109419,-0.315149,6.94728,0.267862
"244",3.42621,0.466575,-0.0185021,-0.0958315,-0.141577,6.79784,0.293264
"245",3.36677,0.577387,-0.110184,-0.0741581,0.0235452,7.14475,0.271219
"246",3.30903,0.671939,-0.113729,-0.0745899,-0.150638,6.63075,0.273684
"247",3.40231,0.55007,-0.0410998,-0.0668884,-0.271872,6.57295,0.302988
"248",3.28471,0.617483,-0.0409924,-0.00940452,0.0978275,6.52595,0.281551
"249",3.42701,0.458465,-0.0669382,-0.0617044,-0.225359,6.51175,0.289346
"250",3.37604,0.562107,-0.0774721,-0.0720805,-0.0201872,6.72798,0.271274
"251",3.36491,0.593768,-0.0481841,-0.0813396,-0.122901,6.61422,0.296064
"252",3.35142,0.600969,0.0430876,-0.0895213,0.0468044,6.84444,0.272227
"253",3.34369,0.565795,-0.0999461,-0.0629406,-0.136666,7.17197,0.273223
"254",3.3327,0.517223,-0.0269307,-0.0410521,0.0110527,6.92968,0.279287
"255",3.39187,0.473312,-0.0178016,-0.0737445,-0.183972,6.7137,0.289813
"256",3.3902,0.572507,-0.0336835,-0.0742099,-0.0818041,6.43606,0.283624
"257",3.31872,0.494696,-0.0160031,-0.0657278,-0.0238581,6.5061,0.27572
"258",3.35855,0.608589,-0.0331275,-0.0422514,0.0522258,7.1422,0.284604
"259",3.40302,0.568997,-0.0930928,-0.0570258,-0.139467,6.868,0.262739
"260",3.40987,0.57578,-0.0448159,-0.0453496,-0.225469,6.74005,0.260939
"261",3.41241,0.461232,-0.00229338,-0.0532515,0.11134,6.183,0.286126
"262",3.40785,0.545894,-0.095285,-0.0263663,0.0114493,6.87023,0.27425
"263",3.39228,0.547969,-0.120507,-0.0882488,-0.194924,6.39561,0.264658
"264",3.33957,0.660762,-0.065481,-0.0739647,-0.0420549,6.5122,0.273016
"265",3.34952,0.571204,-0.10224,-0.0475667,-0.216445,6.42721,0.286993
"266",3.35586,0.625859,-0.0241884,-0.0275733,0.0179179,6.71928,0.266277
"267",3.37701,0.537825,-0.106884,-0.0239727,-0.111465,6.75022,0.281868
"268",3.37,0.548744,-0.0944915,-0.0834464,-0.187223,6.71456,0.269098
"269",3.47062,0.514516,-0.0349477,-0.078225,-0.0943476,6.88253,0.282221
"270",3.39766,0.505463,-0.040113,-0.0355496,0.0353781,6.44362,0.266429
"271",3.39428,0.546483,-0.064124,-0.0165197,-0.29217,6.80318,0.295973
"272",3.4176,0.409306,-0.0440636,-0.101755,-0.304843,7.02566,0.279653
"273",3.35082,0.543134,-0.0672631,-0.0340715,0.193467,6.56503,0.274663
"274",3.35739,0.591532,-0.0455259,-0.10932,-0.251996,6.39036,0.28448
"275",3.3381,0.558324,-0.0796127,-0.0534992,0.0368965,6.3733,0.270945
"276",3.34293,0.604732,-0.0866372,-0.0633957,-0.119375,6.88812,0.272024
